loan_title,default_prob,risk_category,loan_id,loan_amount,remaining_amount,lender_count
debt_consolidation,0.2535452544689178,High,139,190546,0.0,6
New Start,0.127026617527008,Medium,140,221959,0.0,6
car,0.2409456670284271,High,141,186602,0.0,6
vacation,0.2188206315040588,High,142,169101,0.0,5
home_improvement,0.1470091789960861,Medium,143,465892,0.0,6
medical,0.1543811559677124,Medium,144,428576,0.0,5
home_improvement,0.2939894199371338,High,145,63545,0.0,5
debt_consolidation,0.1905739903450012,Medium,146,365838,0.0,6
home_improvement,0.2406050860881805,High,147,123530,0.0,5
debt_consolidation,0.2369354367256164,High,148,143557,0.0,6
Student Loan,0.1574872732162475,Medium,149,261087,0.0,6
house,0.2884212732315063,High,150,118840,0.0,5
other,0.2343611866235733,High,151,168451,0.0,6
small_business,0.2475799322128296,High,152,101005,0.0,6
small_business,0.1787779331207275,Medium,153,239353,0.0,6
debt_consolidation,0.2485096454620361,High,154,102733,0.0,5
other,0.2398798018693924,High,155,115318,0.0,5
major_purchase,0.2948263585567474,High,156,117172,0.0,6
House,0.1724680811166763,Medium,157,416688,0.0,6
home_improvement,0.2006359845399856,High,158,143264,0.0,6
debt_consolidation,0.2603314518928528,High,159,76736,0.0,6
other,0.1761941909790039,Medium,160,425281,0.0,6
debt_consolidation,0.1540391892194748,Medium,161,312859,0.0,6
credit_card,0.2227925211191177,High,162,162181,0.0,6
Apartment/ Education ,0.2276732921600341,High,163,181926,0.0,5
credit_card,0.1375665813684463,Medium,164,469536,0.0,6
other,0.1758951395750045,Medium,165,457426,0.0,5
major_purchase,0.2817536890506744,High,166,100859,0.0,5
car,0.2068931758403778,High,167,175657,0.0,6
debt_consolidation,0.2105690538883209,High,168,120467,0.0,6
other,0.2780264317989349,High,169,148506,0.0,6
other,0.291953831911087,High,170,159751,0.0,6
medical,0.244986891746521,High,171,168906,0.0,6
other,0.2946137189865112,High,172,193760,0.0,6
major_purchase,0.1926169097423553,Medium,173,487486,0.0,5
debt_consolidation,0.2245195657014846,High,174,156308,0.0,5
credit_card,0.2959343492984772,High,175,156081,0.0,6
other,0.1510370075702667,Medium,176,289045,0.0,6
debt_consolidation,0.2359904795885086,High,177,84698,0.0,5
debt_consolidation,0.1599289774894714,Medium,178,310078,0.0,5
credit_card,0.1683852821588516,Medium,179,222671,0.0,5
other,0.1301075667142868,Medium,180,286202,0.0,6
car,0.2189784049987793,High,181,101663,0.0,6
looking to pay my credit cards ,0.2520307004451751,High,182,65708,0.0,6
debt_consolidation,0.269949734210968,High,183,141906,0.0,6
other,0.2210727035999298,High,184,99811,0.0,6
Medical Loan,0.1317869573831558,Medium,185,333883,0.0,6
debt_consolidation,0.200894296169281,High,186,106250,0.0,5
credit_card,0.101175881922245,Medium,187,312547,0.0,6
car,0.1355819404125213,Medium,188,234754,0.0,6
other,0.1627191007137298,Medium,189,426814,0.0,6
debt_consolidation,0.2747793793678283,High,190,192483,0.0,5
other,0.1345164030790329,Medium,191,333983,0.0,6
Home improvement,0.2893234193325043,High,192,189752,0.0,6
Andrew Morrison,0.2300878018140792,High,193,134896,0.0,6
debt_consolidation,0.276511013507843,High,194,121295,0.0,5
debt_consolidation,0.1752016544342041,Medium,195,419686,0.0,6
other,0.1439381688833236,Medium,196,473255,0.0,7
major_purchase,0.2620432674884796,High,197,87504,0.0,5
debt_consolidation,0.2303674519062042,High,198,182874,0.0,5
debt_consolidation,0.2132281810045242,High,199,58155,0.0,6
small_business,0.1689485758543014,Medium,200,247254,0.0,6
major_purchase,0.2422296404838562,High,201,71918,0.0,6
moving,0.1876516342163086,Medium,202,285981,0.0,6
debt_consolidation,0.1654058694839477,Medium,203,230306,0.0,6
debt_consolidation,0.191498264670372,Medium,204,347718,0.0,5
car,0.1416258364915847,Medium,205,320975,0.0,5
other,0.1840794831514358,Medium,206,307512,0.0,6
debt_consolidation,0.2129693925380706,High,207,197443,0.0,5
debt_consolidation,0.1389387249946594,Medium,208,333121,0.0,6
small_business,0.1424465477466583,Medium,209,362688,0.0,6
debt_consolidation,0.1301842629909515,Medium,210,483076,0.0,6
credit_card,0.0839326307177543,Low,211,617796,0.0,5
debt_consolidation,0.2768466174602508,High,212,79855,0.0,5
credit_card,0.2354575395584106,High,213,57400,0.0,5
debt_consolidation,0.1237905025482177,Medium,214,373714,0.0,6
home_improvement,0.2160256505012512,High,215,65151,0.0,6
debt_consolidation,0.1261573135852813,Medium,216,266690,0.0,5
debt_consolidation,0.1694012135267257,Medium,217,204499,0.0,6
other,0.2032855600118637,High,218,56295,0.0,5
educational,0.2775833010673523,High,219,170885,0.0,6
debt_consolidation,0.2450691759586334,High,220,176071,0.0,6
credit_card,0.2623867094516754,High,221,109040,0.0,5
credit_card,0.0881581306457519,Low,222,774327,0.0,6
moving,0.1707355678081512,Medium,223,343946,0.0,5
personal,0.2124551087617874,High,224,166336,0.0,5
debt_consolidation,0.2244282662868499,High,225,82711,0.0,6
debt_consolidation,0.2067057639360427,High,226,55539,0.0,5
debt_consolidation,0.2917050719261169,High,227,176063,0.0,5
car,0.2366652637720108,High,228,183629,0.0,5
other,0.2441130727529525,High,229,88360,0.0,5
debt_consolidation,0.2776207625865936,High,230,183272,0.0,6
debt_consolidation,0.2245513051748275,High,231,71357,0.0,5
A young couple in trouble,0.2266565114259719,High,232,169121,0.0,5
debt_consolidation,0.2649970054626465,High,233,127505,0.0,5
debt_consolidation,0.2206507921218872,High,234,52869,0.0,5
 ,0.2642315626144409,High,235,100108,0.0,6
car,0.2763924896717071,High,236,162296,0.0,6
small_business,0.2243248969316482,High,237,144179,0.0,5
home_improvement,0.2713651359081268,High,238,140272,0.0,6
debt_consolidation,0.1364442110061645,Medium,239,238467,0.0,6
other,0.209837794303894,High,240,73328,0.0,6
Personal Loan,0.2790489792823791,High,241,141412,0.0,6
debt_consolidation,0.2991852164268493,High,242,185059,0.0,6
major_purchase,0.1847418546676635,Medium,243,258871,0.0,5
Debt consolidated. ,0.2005285024642944,High,244,178391,0.0,6
debt_consolidation,0.1844752728939056,Medium,245,286416,0.0,5
medical and debt consolidation,0.119744524359703,Medium,246,456687,0.0,6
car,0.2300237119197845,High,247,157450,0.0,5
major_purchase,0.1677487045526504,Medium,248,371890,0.0,6
debt_consolidation,0.1629058718681335,Medium,249,481974,0.0,6
home_improvement,0.2304361313581466,High,250,198501,0.0,7
moving expenses,0.1849836409091949,Medium,251,316381,0.0,6
car,0.2442400455474853,High,252,97333,0.0,5
home_improvement,0.1544904112815857,Medium,253,334508,0.0,6
other,0.2810944318771362,High,254,126213,0.0,5
other,0.2056564837694168,High,255,186967,0.0,7
debt_consolidation,0.2681507170200348,High,256,80746,0.0,6
car,0.1568303704261779,Medium,257,249377,0.0,6
debt_consolidation,0.2621172070503235,High,258,104045,0.0,5
wedding,0.2305817455053329,High,259,147888,0.0,5
debt_consolidation,0.2768610715866089,High,260,157455,0.0,5
other,0.201113224029541,High,261,186672,0.0,6
car,0.1889176815748214,Medium,262,425732,0.0,6
debt_consolidation,0.2350777387619018,High,263,143179,0.0,5
debt_consolidation,0.1532948911190033,Medium,264,371836,0.0,7
small_business,0.2293690592050552,High,265,95714,0.0,5
debt_consolidation,0.2747937738895416,High,266,152946,0.0,6
small_business,0.1276443600654602,Medium,267,305983,0.0,5
Car Purchase,0.192210853099823,Medium,268,387563,0.0,5
debt_consolidation,0.2091482877731323,High,269,174123,0.0,5
other,0.1758097410202026,Medium,270,282989,0.0,6
car,0.1896605044603347,Medium,271,498356,0.0,7
other,0.1786840856075287,Medium,272,378274,0.0,6
debt_consolidation,0.1953673660755157,Medium,273,363707,0.0,5
home_improvement,0.2428459376096725,High,274,113208,0.0,6
house,0.0603292882442474,Low,275,795972,0.0,5
debt_consolidation,0.2811644077301025,High,276,199783,0.0,6
other,0.0845740139484405,Low,277,765564,0.0,7
debt_consolidation,0.2319111377000808,High,278,146752,0.0,6
credit_card,0.2197077274322509,High,279,181373,0.0,5
debt_consolidation,0.2026183754205703,High,280,165294,0.0,5
business,0.1158300638198852,Medium,281,324019,0.0,6
credit_card,0.1745281517505645,Medium,282,265726,0.0,5
debt_consolidation,0.294639378786087,High,283,191564,0.0,5
 ,0.1534939408302307,Medium,284,468246,0.0,6
small_business,0.1561459600925445,Medium,285,381408,0.0,6
debt_consolidation,0.2864672243595123,High,286,168015,0.0,5
College Education ,0.2417447566986084,High,287,76641,0.0,6
debt_consolidation,0.1879652291536331,Medium,288,365656,0.0,5
debt_consolidation,0.1733570545911789,Medium,289,363817,0.0,5
credit_card,0.2813355326652527,High,290,153746,0.0,6
debt_consolidation,0.29156693816185,High,291,86631,0.0,6
car,0.178498238325119,Medium,292,442289,0.0,6
debt_consolidation,0.2191919386386871,High,293,122991,0.0,6
other,0.0705673247575759,Low,294,504014,0.0,7
major_purchase,0.2865842878818512,High,295,61093,0.0,6
debt_consolidation,0.187428206205368,Medium,296,218070,0.0,5
other,0.1604645103216171,Medium,297,497921,0.0,6
debt_consolidation,0.2566933631896972,High,298,106958,0.0,5
small_business,0.2364453226327896,High,299,132074,0.0,6
car,0.2465819418430328,High,300,60729,0.0,5
small_business,0.1859471499919891,Medium,301,430785,0.0,6
 ,0.2533513605594635,High,302,155864,0.0,6
credit_card,0.2432988882064819,High,303,180858,0.0,5
medical,0.1893094629049301,Medium,304,409141,0.0,7
other,0.2439907193183899,High,305,155510,0.0,5
debt_consolidation,0.2124348282814026,High,306,104748,0.0,5
debt_consolidation,0.2873875200748443,High,307,55801,0.0,6
other,0.1349152326583862,Medium,308,350262,0.0,6
other,0.0981301069259643,Low,309,942905,0.0,5
car,0.152464747428894,Medium,310,435362,0.0,5
debt_consolidation,0.2268537282943725,High,311,79592,0.0,5
car,0.1448182314634323,Medium,312,472791,0.0,6
car,0.2267438173294067,High,313,189788,0.0,5
home_improvement,0.1573468595743179,Medium,314,419963,0.0,5
Debt consolidation,0.2942899167537689,High,315,160627,0.0,6
 ,0.2624665200710296,High,316,120316,0.0,6
car,0.0505206882953643,Low,317,758067,0.0,5
moving,0.195455253124237,Medium,318,464512,0.0,6
moving,0.2568172216415405,High,319,127575,0.0,6
debt_consolidation,0.1669320315122604,Medium,320,468799,0.0,7
home_improvement,0.129367783665657,Medium,321,437549,0.0,6
credit_card,0.2256266921758651,High,322,120031,0.0,6
debt_consolidation,0.2288563251495361,High,323,137922,0.0,6
major_purchase,0.2703885436058044,High,324,174046,0.0,6
other,0.1466831415891647,Medium,325,232097,0.0,6
other,0.2093217968940735,High,326,192038,0.0,5
major_purchase,0.1707910150289535,Medium,327,324862,0.0,6
debt_consolidation,0.2141811102628708,High,328,168834,0.0,5
other,0.1582604199647903,Medium,329,293848,0.0,6
major_purchase,0.1799907982349395,Medium,330,252921,0.0,5
other,0.1431536674499511,Medium,331,380798,0.0,6
Helping out Family,0.1485144942998886,Medium,332,326141,0.0,6
other,0.1723389029502868,Medium,333,381372,0.0,6
pay off lease on vehicle,0.2432076930999755,High,334,72677,0.0,5
debt_consolidation,0.1994794309139251,Medium,335,255609,0.0,6
moving,0.1967763155698776,Medium,336,427897,0.0,6
other,0.2723235785961151,High,337,81024,0.0,5
debt_consolidation,0.15218485891819,Medium,338,270313,0.0,5
small_business,0.2338965237140655,High,339,177813,0.0,5
debt_consolidation,0.1221105828881263,Medium,340,384078,0.0,6
LENDING CLUB LOAN,0.2211626023054123,High,341,145285,0.0,5
major_purchase,0.2585596740245819,High,342,196410,0.0,6
Univ of WA student in Dawg House,0.1709780842065811,Medium,343,313632,0.0,6
wedding,0.2225685864686966,High,344,53051,0.0,5
major_purchase,0.1569324731826782,Medium,345,379819,0.0,6
other,0.1678124368190765,Medium,346,287235,0.0,6
other,0.1428954601287841,Medium,347,397484,0.0,6
other,0.2782025933265686,High,348,123523,0.0,5
debt_consolidation,0.1198518574237823,Medium,349,436175,0.0,6
vacation,0.1149430200457573,Medium,350,294476,0.0,7
moving,0.1334321945905685,Medium,351,433841,0.0,6
car,0.1455301195383072,Medium,352,479163,0.0,6
small_business,0.1669730991125106,Medium,353,422866,0.0,6
other,0.253875195980072,High,354,136672,0.0,6
debt_consolidation,0.259939968585968,High,355,123847,0.0,6
other,0.1746893525123596,Medium,356,410706,0.0,5
Debt consolidation,0.2940605282783508,High,357,78251,0.0,6
debt_consolidation,0.1691643893718719,Medium,358,303481,0.0,6
renewable_energy,0.2392942160367965,High,359,162566,0.0,6
debt_consolidation,0.2026515007019043,High,360,75945,0.0,5
loan227,0.0988219231367111,Low,361,852996,0.0,5
car,0.1413043290376663,Medium,362,232217,0.0,6
educational,0.1240978837013244,Medium,363,208308,0.0,6
other,0.1536166369915008,Medium,364,468093,0.0,6
I have the integrity as the will to help,0.1489041000604629,Medium,365,383062,0.0,7
small_business,0.2336470037698745,High,366,182222,0.0,6
home_improvement,0.1588586717844009,Medium,367,420552,0.0,6
debt_consolidation,0.2438062876462936,High,368,150235,0.0,5
debt_consolidation,0.1847337484359741,Medium,369,274740,0.0,5
moving,0.1508823335170745,Medium,370,425913,0.0,5
wedding,0.2230776399374008,High,371,66896,0.0,6
debt_consolidation,0.2763149440288543,High,372,180798,0.0,6
car,0.1691644936800003,Medium,373,377247,0.0,6
debt_consolidation,0.2279273271560669,High,374,188877,0.0,6
debt_consolidation,0.2978757321834564,High,375,55237,0.0,5
relocation,0.1561975181102752,Medium,376,220056,0.0,5
debt_consolidation,0.2293193936347961,High,377,164548,0.0,6
moving,0.1185479536652565,Medium,378,334415,0.0,5
debt_consolidation,0.2455915659666061,High,379,194572,0.0,7
other,0.1560658663511276,Medium,380,229375,0.0,6
home_improvement,0.1044023334980011,Medium,381,340734,0.0,6
small_business,0.2474102228879928,High,382,66964,0.0,5
debt_consolidation,0.2855695486068725,High,383,163429,0.0,5
medical,0.1481301039457321,Medium,384,452764,0.0,6
Debt Con. Loan,0.1902361810207367,Medium,385,390710,0.0,6
home_improvement,0.188473179936409,Medium,386,416139,0.0,6
debt_consolidation,0.244963601231575,High,387,117215,0.0,5
small_business,0.1487419009208679,Medium,388,344356,0.0,5
moving,0.1909569352865219,Medium,389,403861,0.0,6
debt_consolidation,0.2733654677867889,High,390,143468,0.0,6
other,0.2910423278808594,High,391,59435,0.0,5
debt_consolidation,0.1863366812467575,Medium,392,375150,0.0,6
debt_consolidation,0.1871917843818664,Medium,393,251293,0.0,6
credit_card,0.2285884767770767,High,394,128781,0.0,6
other,0.2462414503097534,High,395,93919,0.0,5
car,0.299739807844162,High,396,171172,0.0,6
debt_consolidation,0.2016608715057373,High,397,144758,0.0,5
house,0.1893867552280426,Medium,398,259101,0.0,5
credit_card,0.1919008940458297,Medium,399,488790,0.0,5
house,0.2941207587718963,High,400,154185,0.0,6
home_improvement,0.2478600740432739,High,401,73049,0.0,6
medical,0.2712688148021698,High,402,148116,0.0,6
Home improvement,0.1000278517603874,Medium,403,268385,0.0,5
credit_card,0.2893692851066589,High,404,176131,0.0,5
car,0.1644308269023895,Medium,405,396489,0.0,6
car,0.2079503685235977,High,406,73289,0.0,5
debt_consolidation,0.1963289976119995,Medium,407,471967,0.0,6
other,0.2475176006555557,High,408,91975,0.0,5
other,0.1633383333683014,Medium,409,209540,0.0,5
consolidation loan,0.2108341753482818,High,410,66364,0.0,5
debt_consolidation,0.2193636745214462,High,411,185683,0.0,5
home_improvement,0.1377988010644912,Medium,412,227663,0.0,5
major_purchase,0.1792449951171875,Medium,413,251991,0.0,6
home_improvement,0.1258713454008102,Medium,414,388751,0.0,5
debt_consolidation,0.2652056813240051,High,415,154182,0.0,6
credit_card,0.2122822850942611,High,416,144704,0.0,5
debt_consolidation,0.2884212732315063,High,417,99115,0.0,6
major_purchase,0.1744555830955505,Medium,418,419295,0.0,5
debt_consolidation,0.1595140099525451,Medium,419,391962,0.0,6
debt_consolidation,0.2395094335079193,High,420,199143,0.0,5
debt_consolidation,0.0989098846912384,Low,421,690347,0.0,6
personal,0.0693541541695594,Low,422,965585,0.0,6
other,0.1495674401521682,Medium,423,211938,0.0,5
credit_card,0.2105763703584671,High,424,141680,0.0,6
Boat Loan,0.1960987746715545,Medium,425,204000,0.0,7
major_purchase,0.226996436715126,High,426,151042,0.0,6
other,0.1943579614162445,Medium,427,451492,0.0,6
To pay off bills,0.2210694998502731,High,428,153691,0.0,6
American University Student Loan,0.2244459986686706,High,429,88304,0.0,6
Parent Plus School loan,0.1543880850076675,Medium,430,282986,0.0,6
major_purchase,0.2439666539430618,High,431,158940,0.0,5
moving,0.1686602234840393,Medium,432,465517,0.0,6
house,0.2534263134002685,High,433,193233,0.0,6
debt_consolidation,0.262927383184433,High,434,147532,0.0,6
other,0.1514113694429397,Medium,435,300386,0.0,5
renewable_energy,0.1528321355581283,Medium,436,227350,0.0,5
wedding,0.2476990520954132,High,437,143008,0.0,6
moving,0.1904014945030212,Medium,438,225351,0.0,6
debt_consolidation,0.2062439918518066,High,439,138668,0.0,6
small_business,0.2464027404785156,High,440,164585,0.0,6
debt_consolidation,0.129175379872322,Medium,441,407869,0.0,6
Business start-up,0.1845955103635788,Medium,442,265953,0.0,5
home_improvement,0.1621170789003372,Medium,443,482502,0.0,6
home_improvement,0.1990681737661361,Medium,444,203267,0.0,6
other,0.2929965257644653,High,445,132745,0.0,5
other,0.1295296251773834,Medium,446,357164,0.0,6
home_improvement,0.197609007358551,Medium,447,211338,0.0,6
Reduce High Interest Rates,0.2233820557594299,High,448,181484,0.0,6
credit_card,0.1510487347841262,Medium,449,207543,0.0,6
Debt Consolidation,0.215666115283966,High,450,155891,0.0,6
credit_card,0.2721537053585052,High,451,110692,0.0,6
other,0.1473780572414398,Medium,452,420156,0.0,6
other,0.2483448386192321,High,453,94425,0.0,5
Rings and debt,0.1636139005422592,Medium,454,238756,0.0,6
debt_consolidation,0.2725250422954559,High,455,68888,0.0,6
Car Loan,0.1094984635710716,Medium,456,366807,0.0,6
wedding,0.2722760438919067,High,457,97295,0.0,5
debt_consolidation,0.1039763242006301,Medium,458,314352,0.0,6
house,0.1954777389764785,Medium,459,285999,0.0,6
debt_consolidation,0.1919755339622497,Medium,460,217955,0.0,5
Pay credit cards and move to cheaper apt,0.1859598159790039,Medium,461,499985,0.0,5
debt_consolidation,0.1707213371992111,Medium,462,270640,0.0,6
moving,0.176465556025505,Medium,463,396582,0.0,6
other,0.243061825633049,High,464,188429,0.0,6
debt_consolidation,0.1626263558864593,Medium,465,261476,0.0,6
Student Loan,0.2261483669281005,High,466,94811,0.0,6
 ,0.1047838106751442,Medium,467,367280,0.0,6
Debt consolidation,0.2040810883045196,High,468,121180,0.0,5
Green loan,0.2125225663185119,High,469,162856,0.0,6
debt_consolidation,0.1639705896377563,Medium,470,386141,0.0,5
debt_consolidation,0.198192611336708,Medium,471,310448,0.0,6
vacation,0.1618690639734268,Medium,472,214397,0.0,6
credit_card,0.2847186923027038,High,473,181800,0.0,5
other,0.1893094629049301,Medium,474,319180,0.0,5
small_business,0.1943903714418411,Medium,475,266234,0.0,6
debt_consolidation,0.161536768078804,Medium,476,239954,0.0,6
credit_card,0.2545052468776703,High,477,129459,0.0,6
other,0.1645442843437194,Medium,478,395004,0.0,6
debt_consolidation,0.267363965511322,High,479,109163,0.0,5
debt_consolidation,0.2564133107662201,High,480,101934,0.0,5
other,0.2550172507762909,High,481,104098,0.0,5
credit_card,0.1074739918112754,Medium,482,205486,0.0,5
other,0.150732010602951,Medium,483,339407,0.0,5
car,0.1894347667694091,Medium,484,326020,0.0,5
Business loan,0.2585393190383911,High,485,152795,0.0,5
other,0.2087112963199615,High,486,192202,0.0,6
credit_card,0.261026918888092,High,487,137508,0.0,5
debt_consolidation,0.288629800081253,High,488,168324,0.0,5
other,0.158516526222229,Medium,489,397775,0.0,7
